Product_Name,Price,Ratings,Product_Link
"LG Gram Laptop - 17"" IPS WQXGA (2560 x 1600) Intel 10th Gen Core i7 1065G7 CPU, 16GB RAM, 1TB M.2 NVMe SSD (512GB x2), 17 Hour Battery, Thunderbolt 3 - 17Z90N (2020)","$1,696.99",4.4 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03949633GFDGYKWOFRV9&url=%2FLG-Gram-Laptop-Battery-Thunderbolt%2Fdp%2FB082XQR86P%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1594146124%26sr%3D8-28-spons%26psc%3D1&qualifier=1594146124&id=902168056034119&widgetName=sp_mtf
"Dell Inspiron 15 5000, 2019 15.6"" FHD Touchscreen Laptop, Intel 4-Core i5-8265U, 12GB RAM, 256GB PCIe SSD by 16GB Optane, 1TB HDD, Backlit KB Fingerprint Reader MaxxAudio Win 10/Accessories Bundle",$0,4.1 out of 5 stars,https://www.amazon.com/Dell-Inspiron-procesador-retroiluminado-Wireless-AC/dp/B07WTZC3JS/ref=sr_1_29?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-29
"Dell Inspiron 11 3195, 2 in 1, 7th Gen AMD A9-9420e W/ Radeon R5 Graphics, 4GB DDR4 2666MHz RAM, 64GB HD, 11.6"" HD (1366 X 768) LED-Backlit Touch Display (i3195-A525GRY-PUS)",$321.00,3.9 out of 5 stars,https://www.amazon.com/Dell-Inspiron-A9-9420e-Graphics-LED-Backlit/dp/B07S37WHS5/ref=sr_1_30?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-30
"Dell Inspiron 13 2-in-1 7386-13.3"" FHD Touch - i5-8265U - 8GB - 256GB SSD - Silver, Model:dell i7386-5038slv-pus",$0,4.4 out of 5 stars,https://www.amazon.com/Dell-Inspiron-7386-13-3-FHD-Touch/dp/B07LDVX6R6/ref=sr_1_31?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-31
"Dell Inspiron 13 7000 7370 Laptop - (13.3"" Touchscreen IPS FHD (1920x1080), 8th Gen Intel Quad-Core i5-8250U, 256GB SSD, 8GB DDR4, Backlit Keyboard, Windows 10)",$0,3.8 out of 5 stars,https://www.amazon.com/Dell-Inspiron-7000-7370-Laptop/dp/B0764N2QL3/ref=sr_1_32?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-32
"Dell Inspiron 15 Touchscreen HD Laptop Bundle with WOOV Accessory, 10th Gen Intel Core i3-1005G1, 12GB RAM, 512GB PCIe SSD, Bluetooth, Windows 10 Home - Black",$555.52,4.6 out of 5 stars,https://www.amazon.com/Dell-Touchscreen-Accessory-i3-1005G1-Bluetooth/dp/B087BXH5T8/ref=sr_1_33?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-33
"Dell Inspiron 15.6-inch HD Display Laptop PC, Intel Core i3-7130U 2.7GHz Processor, 8GB DDR4, 128GB SSD, Stereo Speakers, WiFi, Bluetooth, MaxxAudio, HDMI, No DVD, Intel HD Graphics 620, Windows 10",$550.00,4.2 out of 5 stars,https://www.amazon.com/Dell-Inspiron-15-6-inch-Processor-Bluetooth/dp/B07H9L93KW/ref=sr_1_34?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-34
"2018 Dell Inspiron 15 5000 15.6 inch Full HD Touchscreen Backlit Keyboard Laptop PC, Intel Core i5-8250U Quad-Core, 8GB DDR4, 1TB HDD, Bluetooth 4.2, WiFi, Windows 10 dell i5570-4364slv-pus",$829.00,3.8 out of 5 stars,https://www.amazon.com/Dell-Inspiron-Keyboard-Quad-Core-Bluetooth/dp/B077T46GLP/ref=sr_1_35?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-35
"Dell Inspiron 15 5000 Laptop Computer 2019, 15.6 inch FHD Touchscreen Notebook, Intel Core i3-8130U 2.2Ghz, 8GB DDR4 RAM, 128GB SSD + 1TB HDD, Wi-Fi, Webcam, Windows 10",$0,4.4 out of 5 stars,https://www.amazon.com/Dell-Inspiron-Computer-Touchscreen-Notebook/dp/B07T3DDX2C/ref=sr_1_36?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-36
"LG Gram Laptop - 15.6"" IPS Touchscreen, Intel 10th Gen Core i7-1065G7 CPU, 8GB RAM, 256GB M.2 MVMe SSD, 17 Hours Battery, Thunderbolt 3 - 15Z90N (2020)","$1,596.99",4.1 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A07425822OSA1WH0Y5LX&url=%2FLG-Gram-Laptop-Touchscreen-Thunderbolt%2Fdp%2FB082XRQFZ7%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1594146124%26sr%3D8-37-spons%26psc%3D1&qualifier=1594146124&id=902168056034119&widgetName=sp_btf
"LG Gram Laptop - 14"" Full HD IPS Display, Intel 10th Gen Core i7-1065G7 CPU, 16GB RAM, 512GB M.2 MVMe SSD, Thunderbolt 3, 18.5 Hour Battery Life - 14Z90N (2020)","$1,299.00",4.2 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0148824MP5IU3W5ST0O&url=%2FLG-Gram-Laptop-i7-1065G7-Thunderbolt%2Fdp%2FB084QDV1YW%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1594146124%26sr%3D8-38-spons%26psc%3D1&qualifier=1594146124&id=902168056034119&widgetName=sp_btf
"Latest Dell Business Laptop Inspiron 15 5593: 10th Gen Core i5-1035G1, 256GB SSD, 8GB RAM, 15.6"" Full HD Display, Backlit Keyboard, Windows 10 Pro",$705.00,-1,https://www.amazon.com/Latest-Dell-Business-Inspiron-5593/dp/B085X6QQXM/ref=sr_1_33?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-33
"2019 Dell Inspiron 15 15.6'' High Performance Laptop Computer, Intel Celeron N4000 up to 2.6GHz, 4GB DDR4 RAM, 1TB HDD, DVD-RW, 802.11ac WiFi, Bluetooth 4.1, USB 3.1, HDMI, Window 10 Home",$399.00,3.4 out of 5 stars,https://www.amazon.com/Dell-Inspiron-15-Performance-Bluetooth/dp/B07T4M3B3P/ref=sr_1_34?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-34
"Dell Inspiron 11.6"" HD Chromebook, Intel Dual-Core Celeron N3060 up to 2.48GHz, 4GB RAM, HDMI, USB 3.0, Bluetooth, 802.11ac, HD Webcam, Chrome OS - Black (32GB eMMC)",$338.00,4.4 out of 5 stars,https://www.amazon.com/Dell-Inspiron-Chromebook-Dual-Core-Bluetooth/dp/B07SGD19GL/ref=sr_1_35?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-35
"2019 Dell Latitude 3500 15.6"" FHD Business Laptop Computer, 8th Gen Intel Quad-Core i5-8265U up to 3.9GHz, 8GB DDR4 RAM, 256GB SSD, 802.11ac WiFi, Bluetooth 5.0, USB 3.1, HDMI, Windows 10 Professional",$899.00,-1,https://www.amazon.com/Dell-3500-Quad-Core-Bluetooth-Professional/dp/B07X5SQ65K/ref=sr_1_36?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-36
"Dell Inspiron 2020 Premium 14” HD Laptop Notebook Computer, 4-Core 10th Gen Intel Core i5-1035G4 up to 3.7 GHz, Iris Plus Graphics, 8GB RAM, 512GB SSD, No DVD,Webcam,Bluetooth,Wi-Fi,HDMI,Windows 10",$0,3.5 out of 5 stars,https://www.amazon.com/Dell-Inspiron-Notebook-i5-1035G4-Bluetooth/dp/B0821PZR4K/ref=sr_1_37?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-37
"Dell Latitude 3500 Laptop, 15.6"" HD (1366 x 768) Non-Touch, 8th Gen Intel Core i3-8145U, 8GB RAM, 500GB Hard Drive, Windows 10 Pro",$599.00,-1,https://www.amazon.com/Dell-Latitude-3500-Non-Touch-i3-8145U/dp/B088C1XVL6/ref=sr_1_38?dchild=1&keywords=dell+laptop&qid=1594146124&sr=8-38
